s1:

+---------------------+--------+----+
| time                | player | ip |
| 2016-08-18 06:43:17 |      9 | 36 |
| 2016-08-18 06:48:17 |      9 | 36 |
| 2016-08-18 06:53:17 |     10 | 37 |
| 2016-08-18 06:58:17 |     12 | 39 |
| 2016-08-18 07:03:18 |     15 | 42 |
| 2016-08-18 07:08:18 |     11 | 38 |
| 2016-08-18 07:13:18 |     12 | 39 |
| 2016-08-18 07:18:19 |     13 | 40 |
| 2016-08-18 07:23:19 |     17 | 43 |
| 2016-08-18 07:28:19 |     14 | 41 |
| 2016-08-18 07:33:20 |     14 | 40 |
| 2016-08-18 07:38:20 |     15 | 42 |
| 2016-08-18 07:43:20 |     16 | 43 |
| 2016-08-18 07:48:20 |     21 | 48 |
| 2016-08-18 07:53:21 |     24 | 49 |
| 2016-08-18 07:58:21 |     22 | 48 |
| 2016-08-18 08:03:21 |     24 | 49 |
| 2016-08-18 08:08:22 |     24 | 49 |
| 2016-08-18 08:13:22 |     22 | 48 |
| 2016-08-18 08:18:22 |     22 | 47 |
| 2016-08-18 08:23:23 |     24 | 50 |
| 2016-08-18 08:28:23 |     24 | 50 |
| 2016-08-18 08:33:23 |     23 | 49 |
| 2016-08-18 08:38:23 |     22 | 48 |
| 2016-08-18 08:43:24 |     22 | 47 |
| 2016-08-18 08:48:24 |     20 | 46 |
| 2016-08-18 08:53:24 |     21 | 45 |
| 2016-08-18 08:58:25 |     22 | 48 |
| 2016-08-18 09:03:25 |     27 | 53 |
| 2016-08-18 09:08:25 |     25 | 51 |
| 2016-08-18 09:13:26 |     27 | 52 |
| 2016-08-18 09:18:26 |     26 | 51 |
| 2016-08-18 09:23:26 |     26 | 52 |
| 2016-08-18 09:28:27 |     29 | 53 |
| 2016-08-18 09:33:27 |     28 | 53 |
| 2016-08-18 09:38:27 |     26 | 51 |
| 2016-08-18 09:43:27 |     25 | 51 |
| 2016-08-18 09:48:28 |     26 | 52 |
| 2016-08-18 09:53:28 |     27 | 53 |
| 2016-08-18 09:58:28 |     27 | 53 |
| 2016-08-18 10:03:29 |     28 | 53 |
| 2016-08-18 10:08:29 |     27 | 51 |
| 2016-08-18 10:13:29 |     28 | 52 |
| 2016-08-18 10:18:30 |     26 | 51 |
| 2016-08-18 10:23:30 |     28 | 53 |
| 2016-08-18 10:28:30 |     25 | 50 |
| 2016-08-18 10:33:30 |     25 | 51 |
| 2016-08-18 10:38:31 |     25 | 51 |
| 2016-08-18 10:43:31 |     25 | 51 |
| 2016-08-18 10:48:31 |     26 | 52 |
| 2016-08-18 10:53:32 |     25 | 51 |
| 2016-08-18 10:58:32 |     25 | 51 |
| 2016-08-18 11:03:32 |     24 | 50 |
| 2016-08-18 11:08:33 |     25 | 51 |
| 2016-08-18 11:13:33 |     28 | 53 |
| 2016-08-18 11:18:33 |     30 | 56 |
| 2016-08-18 11:23:34 |     27 | 53 |
| 2016-08-18 11:28:34 |     27 | 53 |
| 2016-08-18 11:33:34 |     26 | 52 |
| 2016-08-18 11:38:34 |     29 | 55 |
| 2016-08-18 11:43:35 |     29 | 54 |
| 2016-08-18 11:48:35 |     30 | 54 |
| 2016-08-18 11:53:35 |     32 | 57 |
| 2016-08-18 11:58:36 |     33 | 57 |
| 2016-08-18 12:03:36 |     33 | 57 |
| 2016-08-18 12:08:36 |     34 | 59 |
| 2016-08-18 12:13:37 |     29 | 55 |
| 2016-08-18 12:18:37 |     31 | 57 |
| 2016-08-18 12:23:37 |     31 | 57 |
| 2016-08-18 12:28:37 |     32 | 58 |
| 2016-08-18 12:33:38 |     33 | 59 |
